,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,66.69,73,86,7.83,US,1600376400
1,Villarrica,-25.75,-56.4333,79.32,57,44,1.25,PY,1600376400
2,Bambous Virieux,-20.3428,57.7575,70.74,72,47,13.4,MU,1600376400
3,Shimoda,34.6667,138.95,79.59,90,89,17.98,JP,1600376400
4,Barrow,71.2906,-156.7887,45.41,83,60,7.63,US,1600376400
5,Shiyan,32.6475,110.7781,60.37,60,0,4.0,CN,1600376400
6,San Patricio,19.2167,-104.7,87.91,66,25,6.49,MX,1600376400
7,Atuona,-9.8,-139.0333,77.47,78,33,22.64,PF,1600376400
8,Talaya,61.3833,152.75,36.66,89,28,3.27,RU,1600376400
9,Bredasdorp,-34.5322,20.0403,51.78,85,36,2.82,ZA,1600376400
10,Punta Arenas,-53.15,-70.9167,39.34,63,75,27.29,CL,1600376400
11,Bauchi,10.5,10.0,74.89,83,74,3.06,NG,1600376400
12,Jamestown,42.097,-79.2353,64.74,73,56,8.57,US,1600376400
13,Avarua,-21.2078,-159.775,71.42,73,88,21.0,CK,1600376400
14,Bluff,-46.6,168.3333,46.53,82,73,31.83,NZ,1600376400
15,Rikitea,-23.1203,-134.9692,71.89,82,98,22.64,PF,1600376400
16,Norman Wells,65.282,-126.8329,57.31,59,34,9.22,CA,1600376400
17,Jinxi,30.4323,116.2922,62.89,94,100,1.45,CN,1600376400
18,Makakilo City,21.3469,-158.0858,80.87,63,1,15.73,US,1600376400
19,Lorengau,-2.0226,147.2712,82.22,78,85,9.06,PG,1600376400
20,Māngrol,21.1167,70.1167,81.43,82,89,8.79,IN,1600376400
21,Tautira,-17.7333,-149.15,79.34,76,26,16.37,PF,1600376400
22,Busselton,-33.65,115.3333,47.26,66,8,10.74,AU,1600376400
23,Seoul,37.5683,126.9778,68.4,65,87,6.69,KR,1600376400
24,Nago,26.5881,127.9761,81.57,87,34,7.65,JP,1600376400
25,Arraial do Cabo,-22.9661,-42.0278,78.69,69,0,22.08,BR,1600376400
26,Broken Hill,-31.95,141.4333,65.37,64,87,12.08,AU,1600376400
27,Poum,-20.2333,164.0167,71.82,76,7,8.46,NC,1600376400
28,Tuktoyaktuk,69.4541,-133.0374,43.95,87,38,2.66,CA,1600376400
29,Saskylakh,71.9167,114.0833,46.96,81,1,9.01,RU,1600376400
30,Vaini,-21.2,-175.2,71.76,87,85,24.11,TO,1600376400
31,Yellowknife,62.456,-114.3525,47.82,62,38,13.29,CA,1600376400
32,Binabalian Ricor,16.4202,119.9279,83.01,76,40,18.01,PH,1600376400
33,Avera,33.194,-82.5271,75.9,92,90,9.44,US,1600376400
34,Goba,7.0167,39.9833,53.76,76,64,4.07,ET,1600376400
35,Ushuaia,-54.8,-68.3,34.81,73,68,9.62,AR,1600376400
36,Colares,38.7992,-9.4469,67.03,84,55,15.12,PT,1600376400
37,São Filipe,14.8961,-24.4956,81.23,82,63,6.91,CV,1600376400
38,Lüderitz,-26.6481,15.1594,59.58,68,0,12.19,NA,1600376400
39,Qaanaaq,77.484,-69.3632,20.64,84,30,9.84,GL,1600376400
40,Thompson,55.7435,-97.8558,46.92,48,41,8.43,CA,1600376400
41,Ancud,-41.8697,-73.8203,51.4,70,99,13.69,CL,1600376400
42,Upernavik,72.7868,-56.1549,34.3,86,100,4.56,GL,1600376400
43,Dikson,73.5069,80.5464,45.75,87,94,12.68,RU,1600376400
44,Okha,53.5739,142.9478,52.88,90,100,21.07,RU,1600376400
45,Alghero,40.5589,8.3181,73.08,82,43,3.51,IT,1600376400
46,Bathsheba,13.2167,-59.5167,84.97,63,60,5.17,BB,1600376400
47,Arrondissement de Marseille,43.3333,5.5,76.62,60,18,5.08,FR,1600376400
48,Butaritari,3.0707,172.7902,82.2,78,52,16.35,KI,1600376400
49,Hermanus,-34.4187,19.2345,55.22,84,28,3.38,ZA,1600376400
50,Diego de Almagro,-26.3667,-70.05,82.24,14,0,10.42,CL,1600376400
51,Nikolskoye,59.7035,30.7861,47.07,89,71,7.47,RU,1600376400
52,Hobart,-42.8794,147.3294,37.44,81,0,3.69,AU,1600376400
53,Touros,-5.1989,-35.4608,79.5,64,20,16.71,BR,1600376400
54,Mehamn,71.0357,27.8492,45.19,77,100,12.66,NO,1600376400
55,Ust-Nera,64.5667,143.2,36.14,82,0,1.25,RU,1600376400
56,Gunjur,13.2019,-16.7339,81.46,84,57,12.73,GM,1600376400
57,Sivaki,52.6333,126.75,47.41,96,100,11.52,RU,1600376400
58,Oodweyne,9.4092,45.064,82.96,42,69,12.3,SO,1600376400
59,Oranjemund,-28.55,16.4333,58.15,80,3,9.04,NA,1600376400
60,Penzance,50.1186,-5.5371,62.56,81,0,22.3,GB,1600376400
61,Cherskiy,68.75,161.3,35.13,95,100,4.43,RU,1600376400
62,Hilo,19.7297,-155.09,79.59,65,79,6.6,US,1600376400
63,Humaitá,-7.5061,-63.0208,98.6,31,76,3.27,BR,1600376400
64,Caravelas,-17.7125,-39.2481,76.19,62,3,6.67,BR,1600376400
65,Vodňany,49.1479,14.1751,52.93,79,39,4.21,CZ,1600376400
66,Kaduna,10.5222,7.4383,74.21,84,83,2.42,NG,1600376400
67,Pervomayskoye,43.919,46.7102,64.74,71,2,16.96,RU,1600376400
68,Deputatsky,69.3,139.9,39.72,90,99,11.34,RU,1600376400
69,Codrington,-38.2667,141.9667,49.06,86,100,9.6,AU,1600376400
70,Cape Town,-33.9258,18.4232,57.4,81,13,4.5,ZA,1600376400
71,Juba,4.8517,31.5825,76.32,71,37,2.89,SS,1600376400
72,Dalvik,65.9702,-18.5286,50.43,61,45,14.0,IS,1600376400
73,Rawson,-43.3002,-65.1023,59.14,32,47,36.51,AR,1600376400
74,Najrān,17.4924,44.1277,79.77,19,70,2.46,SA,1600376400
75,Russell,32.3502,-85.1999,76.84,81,86,8.77,US,1600376400
76,Tselinnoye,53.0833,85.6667,53.01,85,100,10.6,RU,1600376400
77,Faanui,-16.4833,-151.75,78.93,77,31,21.12,PF,1600376400
78,Flin Flon,54.7682,-101.865,54.0,40,10,5.41,CA,1600376400
79,Al Bardīyah,31.7561,25.0865,78.01,84,10,10.38,LY,1600376400
80,Mar del Plata,-38.0023,-57.5575,66.0,42,22,11.48,AR,1600376400
81,Srednekolymsk,67.45,153.6833,37.33,86,94,6.42,RU,1600376400
82,Anadyr,64.75,177.4833,43.65,86,59,12.75,RU,1600376400
83,Mataura,-46.1927,168.8643,41.95,78,59,11.88,NZ,1600376400
84,Linkuva,56.0856,23.9725,50.83,69,76,18.03,LT,1600376400
85,Porto-Novo,6.4965,2.6036,78.42,85,21,5.68,BJ,1600376400
86,Kaitangata,-46.2817,169.8464,44.69,64,38,17.4,NZ,1600376400
87,Sørland,67.667,12.6934,48.69,88,87,41.96,NO,1600376400
88,Adrar,20.5022,-10.0711,100.06,10,0,11.72,MR,1600376400
89,Bubaque,11.2833,-15.8333,80.71,80,54,12.24,GW,1600376400
90,Kapaa,22.0752,-159.319,80.47,67,30,11.39,US,1600376400
91,Pagouria,41.0291,25.3184,73.47,61,59,5.35,GR,1600376400
92,Puerto Ayora,-0.7393,-90.3518,70.38,71,58,11.12,EC,1600376400
93,Verkhnetulomskiy,68.6073,31.7962,38.62,95,69,3.98,RU,1600376400
94,Talnakh,69.4865,88.3972,51.26,78,99,8.93,RU,1600376400
95,Evensk,61.95,159.2333,42.39,70,22,8.61,RU,1600376400
96,La Ronge,55.1001,-105.2842,52.9,52,30,3.38,CA,1600376400
97,Guerrero Negro,27.9769,-114.0611,96.67,24,10,11.7,MX,1600376400
98,Bengkulu,-3.8004,102.2655,74.59,88,53,3.76,ID,1600376400
99,Vardø,70.3705,31.1107,46.72,72,87,19.04,NO,1600376400
100,Vallenar,-28.5708,-70.7581,84.04,19,0,6.06,CL,1600376400
101,Chokurdakh,70.6333,147.9167,42.89,97,100,9.75,RU,1600376400
102,Karlshamn,56.1706,14.8619,49.6,67,30,7.67,SE,1600376400
103,Teahupoo,-17.8333,-149.2667,77.13,81,22,17.81,PF,1600376400
104,Nizhniy Chir,48.3597,43.0865,60.69,39,1,13.18,RU,1600376400
105,Bosaso,11.2842,49.1816,92.34,50,1,7.76,SO,1600376400
106,Ashgabat,37.95,58.3833,66.51,33,38,6.76,TM,1600376400
107,Fairbanks,64.8378,-147.7164,59.59,56,87,11.25,US,1600376400
108,Khani,41.9563,42.9566,70.63,58,19,4.97,GE,1600376400
109,Haines Junction,60.7522,-137.5108,55.38,43,100,10.0,CA,1600376400
110,Asău,46.4333,26.4,67.59,66,44,9.17,RO,1600376400
111,Byron Bay,-28.65,153.6167,62.85,90,3,4.92,AU,1600376400
112,Oussouye,12.485,-16.5469,82.8,81,55,8.34,SN,1600376400
113,Sitka,57.0531,-135.33,63.39,59,31,3.83,US,1600376400
114,Bairiki Village,1.3292,172.9752,81.81,73,57,16.91,KI,1600376400
115,Umm Kaddadah,13.6017,26.6876,95.25,26,11,4.83,SD,1600376400
116,Houma,29.5958,-90.7195,86.88,63,87,8.01,US,1600376400
117,New Norfolk,-42.7826,147.0587,36.36,77,0,2.3,AU,1600376400
118,Tateyama,34.9833,139.8667,81.12,86,86,25.21,JP,1600376400
119,Srandakan,-7.9386,110.2506,73.44,85,76,3.15,ID,1600376400
120,Provideniya,64.3833,-173.3,44.96,87,84,8.93,RU,1600376400
121,George Town,5.4112,100.3354,79.09,90,59,2.19,MY,1600376400
122,Phuthaditjhaba,-28.5242,28.8158,52.83,38,1,3.49,ZA,1600376400
123,Tuatapere,-46.1333,167.6833,43.11,84,70,12.3,NZ,1600376400
124,Ketchikan,55.3422,-131.6461,69.04,73,3,3.6,US,1600376400
125,Sena Madureira,-9.0656,-68.6569,94.46,35,77,0.69,BR,1600376400
126,Cidreira,-30.1811,-50.2056,64.38,82,54,6.17,BR,1600376400
127,San Quintín,30.4833,-115.95,90.07,27,8,18.03,MX,1600376400
128,Ribeira Grande,38.5167,-28.7,70.72,77,59,16.26,PT,1600376400
129,Bethel,41.3712,-73.414,74.91,55,49,5.53,US,1600376400
130,Rzhaksa,52.1338,42.0264,62.2,34,61,18.19,RU,1600376400
131,Sindor,62.8629,51.8905,40.86,78,100,3.2,RU,1600376400
132,Zaozyornoye,45.1582,33.2787,71.44,66,20,5.84,UA,1600376400
133,Khatanga,71.9667,102.5,46.33,81,8,6.98,RU,1600376400
134,Saint-Philippe,-21.3585,55.7679,69.15,70,50,12.68,RE,1600376400
135,Tasiilaq,65.6145,-37.6368,34.9,76,3,3.29,GL,1600376400
136,Hithadhoo,-0.6,73.0833,82.45,79,79,11.48,MV,1600376400
137,Isangel,-19.55,169.2667,76.28,90,23,9.46,VU,1600376400
138,Salalah,17.0151,54.0924,80.19,82,49,4.5,OM,1600376400
139,Abbeville,50.1,1.8333,58.91,58,0,11.41,FR,1600376400
140,Port Augusta,-32.5,137.7667,70.97,48,96,18.54,AU,1600376400
141,Pudozh,61.8099,36.5345,44.78,91,100,15.97,RU,1600376400
142,Eureka,40.8021,-124.1637,69.37,84,45,8.34,US,1600376400
143,Pemangkat,1.1667,108.9667,77.76,87,93,9.28,ID,1600376400
144,Bonavista,48.6499,-53.1147,62.98,71,45,22.77,CA,1600376400
145,Port Alfred,-33.5906,26.891,59.04,72,16,6.58,ZA,1600376400
146,Tilichiki,60.4667,166.1,44.28,86,28,9.42,RU,1600376400
147,Port Lincoln,-34.7333,135.8667,59.56,83,86,17.43,AU,1600376400
148,Puerto del Rosario,28.5004,-13.8627,75.65,74,59,11.77,ES,1600376400
149,San Cristobal,7.7669,-72.225,84.33,51,49,3.98,VE,1600376400
150,Kabo,7.6994,18.629,73.83,95,87,0.76,CF,1600376400
151,Praia da Vitória,38.7333,-27.0667,69.33,72,54,4.88,PT,1600376400
152,Ballina,-28.8667,153.5667,61.56,90,3,5.23,AU,1600376400
153,Lodja,-3.4833,23.4333,74.79,82,53,2.62,CD,1600376400
154,Węgorzewo,54.2157,21.7372,51.19,67,72,11.56,PL,1600376400
155,Sovetskiy,61.3614,63.5842,46.04,78,88,9.31,RU,1600376400
156,Paragominas,-2.9667,-47.4833,94.23,37,44,5.91,BR,1600376400
157,Necochea,-38.5473,-58.7368,65.97,47,52,11.56,AR,1600376400
158,Kānkon,15.0167,74.0167,79.59,86,31,4.18,IN,1600376400
159,Nushki,29.5542,66.0215,66.4,24,0,1.39,PK,1600376400
160,Saint Paul Harbor,57.79,-152.4072,53.62,67,1,16.6,US,1600376400
161,Kiryat Gat,31.61,34.7642,76.53,85,0,3.31,IL,1600376400
162,Ixtapa,20.7,-105.2,86.85,70,69,5.17,MX,1600376400
163,Sittwe,20.15,92.9,82.35,81,92,2.33,MM,1600376400
164,Honiara,-9.4333,159.95,80.71,86,87,9.78,SB,1600376400
165,Tegul'det,57.3064,88.1667,53.64,93,99,6.76,RU,1600376400
166,Vostok,46.4856,135.8833,47.32,100,23,3.69,RU,1600376400
167,Broome,42.2506,-75.833,65.01,77,95,7.78,US,1600376400
168,Laguna,38.421,-121.4238,91.81,38,3,5.14,US,1600376400
169,Ponta Delgada,37.7333,-25.6667,68.52,68,22,9.33,PT,1600376400
170,Vila Franca do Campo,37.7167,-25.4333,67.33,69,16,6.78,PT,1600376400
171,Pankrushikha,53.8319,80.3406,50.47,65,70,7.31,RU,1600376400
172,Narsaq,60.9167,-46.05,43.47,61,87,6.64,GL,1600376400
173,East London,-33.0153,27.9116,61.14,74,1,7.63,ZA,1600376400
174,Neulengbach,48.1974,15.9022,58.06,77,68,3.36,AT,1600376400
175,Soc Trang,9.6033,105.98,76.75,96,87,13.78,VN,1600376400
176,Mossamedes,-15.1961,12.1522,62.49,77,0,7.45,AO,1600376400
177,Ottappālam,10.7667,76.3833,74.73,94,60,2.21,IN,1600376400
178,Fortuna,40.5982,-124.1573,73.99,71,9,8.08,US,1600376400
179,Atar,20.5169,-13.0499,104.18,11,0,11.83,MR,1600376400
180,Airai,-8.9266,125.4092,57.97,79,76,1.7,TL,1600376400
181,Stary Krym,45.0333,35.1,63.07,56,9,4.16,UA,1600376400
182,Kruisfontein,-34.0033,24.7314,52.23,82,0,3.67,ZA,1600376400
183,Dakar,14.6937,-17.4441,83.8,80,85,14.67,SN,1600376400
184,Voyvozh,62.892,54.9635,38.34,79,100,3.89,RU,1600376400
185,Hailey,43.5196,-114.3153,84.96,19,31,9.75,US,1600376400
186,Hambantota,6.1241,81.1185,79.68,87,78,17.22,LK,1600376400
187,Meulaboh,4.1363,96.1285,76.33,87,88,4.14,ID,1600376400
188,Serro,-18.6047,-43.3794,80.82,35,2,2.77,BR,1600376400
189,San Policarpo,12.1791,125.5072,78.4,80,100,1.99,PH,1600376400
190,Morondava,-20.2833,44.2833,74.23,87,3,7.94,MG,1600376400
191,Nueva Italia,-25.6167,-57.5,78.67,54,10,5.37,PY,1600376400
192,Sungai Raya,0.7,108.9,78.37,87,67,8.23,ID,1600376400
193,Kloulklubed,7.0419,134.2556,84.02,80,39,5.06,PW,1600376400
194,Bacolod City,10.6667,122.95,77.7,77,100,3.42,PH,1600376400
195,Shakawe,-18.3667,21.85,75.6,34,53,1.12,BW,1600376400
196,Medvedka,61.1629,46.387,41.67,93,100,12.66,RU,1600376400
197,Moree,-29.4667,149.85,60.98,64,28,9.46,AU,1600376400
198,Pevek,69.7008,170.3133,34.34,91,98,8.34,RU,1600376400
199,Inhambane,-23.865,35.3833,72.61,92,11,6.2,MZ,1600376400
200,Vaitape,-16.5167,-151.75,79.86,76,32,21.21,PF,1600376400
201,Berlevåg,70.8578,29.0864,45.41,69,100,18.23,NO,1600376400
202,Hong Kong,22.2855,114.1577,83.35,85,91,20.87,HK,1600376400
203,Oak Harbor,48.2932,-122.6432,60.51,91,86,7.7,US,1600376400
204,Vestmannaeyjar,63.4427,-20.2734,50.61,82,81,18.07,IS,1600376400
205,Torbay,47.6666,-52.7314,63.72,72,77,21.9,CA,1600376400
206,Wanning,18.8003,110.3967,82.6,87,100,16.11,CN,1600376400
207,Cabo San Lucas,22.8909,-109.9124,87.94,68,11,2.75,MX,1600376400
208,Clyde River,70.4692,-68.5914,38.53,68,76,2.39,CA,1600376400
209,Aykhal,66.0,111.5,45.48,70,4,5.19,RU,1600376400
210,Diffa,13.3154,12.6113,91.2,37,0,6.98,NE,1600376400
211,Esperance,-33.8667,121.9,55.09,91,78,13.22,AU,1600376400
212,Saldanha,-33.0117,17.9442,57.04,79,0,11.05,ZA,1600376400
213,Esim,4.8699,-2.2405,75.69,86,41,7.76,GH,1600376400
214,Moose Factory,51.2585,-80.6094,48.81,50,56,13.71,CA,1600376400
215,Beringovskiy,63.05,179.3167,43.63,88,99,9.71,RU,1600376400
216,Oruro,-17.9833,-67.15,57.29,27,69,6.33,BO,1600376400
217,Pimentel,-6.8367,-79.9342,64.56,75,67,14.99,PE,1600376400
218,Reserva,-24.6503,-50.8506,68.38,66,94,3.98,BR,1600376400
219,Saint George,37.1041,-113.5841,98.46,11,1,2.37,US,1600376400
220,Dunedin,-45.8742,170.5036,45.84,56,18,17.54,NZ,1600376400
221,Te Anau,-45.4167,167.7167,39.88,88,64,7.83,NZ,1600376400
222,Merrill,45.1805,-89.6835,60.73,41,20,6.6,US,1600376400
223,Geraldton,-28.7667,114.6,56.88,66,0,17.34,AU,1600376400
224,Klaksvík,62.2266,-6.589,53.94,95,100,18.75,FO,1600376400
225,Hornepayne,49.2138,-84.7705,48.51,46,0,10.33,CA,1600376400
226,Brae,60.3964,-1.353,55.4,96,84,18.66,GB,1600376400
227,Ouango,4.3133,22.5552,72.66,93,71,1.5,CF,1600376400
228,Mount Isa,-20.7333,139.5,70.48,62,0,15.66,AU,1600376400
229,Sisimiut,66.9395,-53.6735,38.95,73,70,8.39,GL,1600376400
230,Jipijapa,-1.3333,-80.5833,79.07,68,62,7.58,EC,1600376400
231,Roebourne,-20.7833,117.1333,72.82,30,1,18.86,AU,1600376400
232,Solnechnyy,50.7214,136.6319,48.58,92,98,8.05,RU,1600376400
233,Murray Bridge,-35.1167,139.2667,54.05,85,100,7.34,AU,1600376400
234,Kanata,45.3159,-75.8985,56.77,48,10,4.7,CA,1600376400
235,Praia,14.9215,-23.5087,81.91,78,30,3.33,CV,1600376400
236,Darhan,49.4867,105.9228,48.52,72,3,3.4,MN,1600376400
237,Coyhaique,-45.5752,-72.0662,41.97,77,60,12.19,CL,1600376400
238,Port Elizabeth,-33.918,25.5701,55.85,85,0,5.32,ZA,1600376400
239,Cordeiro,-22.0286,-42.3608,81.48,38,0,2.24,BR,1600376400
240,Yar-Sale,66.8333,70.8333,44.49,91,95,4.16,RU,1600376400
241,Mandi Bahauddin,32.5834,73.4843,84.88,39,0,3.58,PK,1600376400
242,Portland,45.5234,-122.6762,83.32,62,46,3.87,US,1600376400
243,Terråk,65.087,12.3715,48.42,75,87,13.02,NO,1600376400
244,Dergachi,51.2328,48.7659,53.96,48,100,8.84,RU,1600376400
245,Zhalantun,48.0,122.7167,52.38,92,100,7.72,CN,1600376400
246,Taltal,-25.4,-70.4833,65.21,48,21,5.28,CL,1600376400
247,Severo-Kuril'sk,50.6789,156.125,54.18,87,100,7.02,RU,1600376400
248,Homer,59.6425,-151.5483,53.69,74,60,15.82,US,1600376400
249,Lakota,5.8528,-5.6883,72.16,94,92,4.27,CI,1600376400
250,Paso de los Toros,-32.8167,-56.5167,69.08,54,0,6.2,UY,1600376400
251,Dandong,40.1292,124.3947,53.65,71,0,2.8,CN,1600376400
252,Palencia,42.4167,-4.5,69.75,59,97,9.69,ES,1600376400
253,Turiaçu,-1.6633,-45.3717,82.94,69,62,6.93,BR,1600376400
254,Grand-Santi,4.25,-54.3833,90.16,54,63,0.96,GF,1600376400
255,Castro,-24.7911,-50.0119,67.53,68,91,8.43,BR,1600376400
256,Mahébourg,-20.4081,57.7,70.86,73,48,13.49,MU,1600376400
257,Jalu,29.0331,21.5482,83.59,47,0,15.3,LY,1600376400
258,Liverpool,53.4106,-2.9779,59.65,66,0,8.52,GB,1600376400
259,Kargopol',61.5071,38.9456,44.96,94,100,14.81,RU,1600376400
260,Bobon,12.5246,124.5636,76.51,87,100,2.82,PH,1600376400
261,Ahipara,-35.1667,173.1667,59.79,81,89,16.62,NZ,1600376400
262,Coahuayana Viejo,18.7333,-103.6833,86.2,74,61,6.49,MX,1600376400
263,Rome,43.2128,-75.4557,59.27,85,95,3.67,US,1600376400
264,Pacifica,37.6138,-122.4869,67.5,81,62,10.58,US,1600376400
