,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,Hualmay,-11.0964,-77.6139,66.38,66,25,7.45,PE,1600376400
266,Aragarças,-15.8975,-52.2508,97.02,17,82,4.07,BR,1600376400
267,Dingle,10.9995,122.6711,75.34,91,100,2.46,PH,1600376400
268,Xai-Xai,-25.0519,33.6442,70.32,89,71,6.69,MZ,1600376400
269,Kavieng,-2.5744,150.7967,82.53,77,92,11.48,PG,1600376400
270,Jiexiu,37.0244,111.9125,61.38,33,0,6.76,CN,1600376400
271,Tukan,53.8409,57.4552,38.5,96,84,2.59,RU,1600376400
272,Kavaratti,10.5669,72.642,82.0,80,81,20.58,IN,1600376400
273,Vao,-22.6667,167.4833,71.11,85,1,8.57,NC,1600376400
274,Constitución,-35.3333,-72.4167,61.5,67,2,17.69,CL,1600376400
275,Alamogordo,32.8995,-105.9603,82.99,25,5,6.73,US,1600376400
276,Chegdomyn,51.1167,133.0167,48.65,93,82,0.38,RU,1600376400
277,Kumul,42.8,93.45,67.62,23,0,3.94,CN,1600376400
278,Kuminskiy,58.6667,66.5667,47.25,90,98,9.66,RU,1600376400
279,Channel-Port aux Basques,47.5702,-59.1367,60.6,80,45,16.15,CA,1600376400
280,Ajdabiya,30.7554,20.2263,75.7,78,0,6.58,LY,1600376400
281,Urambo,-5.0667,32.05,76.5,28,51,5.68,TZ,1600376400
282,Kholodnyy,62.7167,147.95,35.08,90,28,3.22,RU,1600376400
283,Savalou,7.9281,1.9756,74.66,93,17,4.21,BJ,1600376400
284,Malaṅgawā,26.8568,85.5581,78.22,91,96,5.35,NP,1600376400
285,Kayes,14.0,-11.0,85.51,74,80,7.25,ML,1600376400
286,Barlinek,52.9946,15.2186,50.81,73,31,3.11,PL,1600376400
287,Halmstad,56.6745,12.8568,49.06,69,26,3.94,SE,1600376400
288,Lebu,-37.6167,-73.65,53.38,78,80,12.71,CL,1600376400
289,Ilulissat,69.2167,-51.1,33.85,82,77,5.06,GL,1600376400
290,Bucerías,20.75,-105.3333,87.04,70,69,8.25,MX,1600376400
291,Yiyang,28.5892,112.3283,61.72,94,100,4.7,CN,1600376400
292,Coquimbo,-29.9533,-71.3436,64.8,69,1,5.01,CL,1600376400
293,Ostrovnoy,68.0531,39.5131,42.24,85,1,7.45,RU,1600376400
294,Marovoay,-16.1,46.6333,72.63,72,11,3.24,MG,1600376400
295,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,81.88,28,0,3.31,AR,1600376400
296,Bizhbulyak,53.6967,54.2642,41.23,87,35,5.53,RU,1600376400
297,Huarmey,-10.0681,-78.1522,66.99,66,27,7.83,PE,1600376400
298,Ijuí,-28.3878,-53.9147,73.08,77,21,4.97,BR,1600376400
299,Forbes,-33.3833,148.0167,57.99,93,82,9.86,AU,1600376400
300,Salinópolis,-0.6136,-47.3561,82.74,73,30,14.32,BR,1600376400
301,Nemuro,43.3236,145.575,67.87,97,100,9.42,JP,1600376400
302,Carnarvon,-24.8667,113.6333,65.28,50,0,15.88,AU,1600376400
303,Chui,-33.6971,-53.4616,65.41,65,2,6.02,UY,1600376400
304,Arlit,18.7369,7.3853,85.35,53,98,19.98,NE,1600376400
305,Varhaug,58.6147,5.6457,51.85,83,19,7.29,NO,1600376400
306,Bārmer,25.75,71.3833,88.32,62,39,15.08,IN,1600376400
307,Santa Cruz Cabrália,-16.2781,-39.0247,76.06,68,10,8.41,BR,1600376400
308,Maun,-19.9833,23.4167,79.03,36,52,7.0,BW,1600376400
309,Yancheng,33.3856,120.1253,61.79,94,95,7.02,CN,1600376400
310,Amahai,-3.3333,128.9167,76.8,82,91,2.06,ID,1600376400
311,Bariloche,-41.1456,-71.3082,45.21,62,37,20.42,AR,1600376400
312,Taoudenni,22.6783,-3.9836,97.63,13,0,12.46,ML,1600376400
313,Samaná,19.2056,-69.3369,86.0,75,28,7.47,DO,1600376400
314,Saint-Cyr-sur-Loire,47.4,0.6667,75.43,45,0,16.78,FR,1600376400
315,Madera,37.1666,-119.8343,93.88,26,24,5.86,US,1600376400
316,Redlands,34.0556,-117.1825,97.88,9,72,5.99,US,1600376400
317,Lompoc,34.6391,-120.4579,79.07,48,39,9.08,US,1600376400
318,Kopavogur,64.1123,-21.913,49.44,82,82,16.15,IS,1600376400
319,São Félix do Xingu,-6.6447,-51.995,96.89,26,46,3.11,BR,1600376400
320,Ukiah,39.1502,-123.2078,86.58,43,1,9.55,US,1600376400
321,Kofelē,7.0667,38.7833,52.47,93,70,5.37,ET,1600376400
322,Gornyye Klyuchi,45.25,133.5,53.96,94,32,3.85,RU,1600376400
323,Dwārka,22.2394,68.9678,82.89,82,78,11.39,IN,1600376400
324,Abhā,18.2164,42.5053,71.58,50,46,7.7,SA,1600376400
325,Mae Hong Son,19.3003,97.9685,75.78,87,98,0.22,TH,1600376400
326,Guarapari,-20.6667,-40.4975,77.52,67,0,15.84,BR,1600376400
327,Khomutovka,51.9207,34.5619,50.95,89,81,9.31,RU,1600376400
328,Fukuechō,32.6881,128.8419,72.91,91,100,20.74,JP,1600376400
329,Nanortalik,60.1432,-45.2371,40.95,76,91,17.83,GL,1600376400
330,Bowen,-20.0167,148.2333,71.89,79,91,18.39,AU,1600376400
331,Waterford,42.7023,-83.4027,63.95,46,10,11.54,US,1600376400
332,Amuntai,-2.4177,115.2494,74.97,88,68,1.41,ID,1600376400
333,Mayor Pablo Lagerenza,-19.9309,-60.7718,86.72,37,94,7.16,PY,1600376400
334,Santa Inês,-3.6667,-45.38,88.0,55,51,4.25,BR,1600376400
335,Tālīkota,16.4833,76.3167,75.36,86,95,16.04,IN,1600376400
336,Hay River,60.8156,-115.7999,53.56,59,87,10.74,CA,1600376400
337,Whitehorse,60.7161,-135.0538,59.76,43,86,12.1,CA,1600376400
338,Tran,42.8353,22.6517,66.31,45,29,0.72,BG,1600376400
339,Acapulco de Juárez,16.8634,-99.8901,84.79,74,90,4.16,MX,1600376400
340,Athens,37.9795,23.7162,73.85,72,43,6.49,GR,1600376400
341,Tiksi,71.6872,128.8694,46.31,81,100,16.06,RU,1600376400
342,Vrangel',42.7297,133.0839,59.04,90,80,5.7,RU,1600376400
343,Kaeo,-35.1,173.7833,59.43,39,74,15.1,NZ,1600376400
344,Sola,-13.8833,167.55,81.34,82,84,24.16,VU,1600376400
345,San Julián,21.0167,-102.1667,71.64,65,59,3.0,MX,1600376400
346,Cayenne,4.9333,-52.3333,85.86,70,17,13.35,GF,1600376400
347,Kapoeta,4.7717,33.5903,82.83,41,73,1.88,SS,1600376400
348,Ngunguru,-35.6167,174.5,59.27,38,22,15.08,NZ,1600376400
349,Buala,-8.145,159.5921,80.55,82,100,11.05,SB,1600376400
350,Dabat,12.9842,37.765,54.12,91,42,3.33,ET,1600376400
351,Tigil',57.8,158.6667,42.94,84,0,2.98,RU,1600376400
352,Kattivākkam,13.2167,80.3167,82.54,81,59,15.26,IN,1600376400
353,Barra Patuca,15.8,-84.2833,88.14,65,3,13.42,HN,1600376400
354,Pleszew,51.8964,17.7855,53.85,64,7,7.63,PL,1600376400
355,Chicama,-7.8447,-79.1469,71.44,56,21,9.13,PE,1600376400
356,Nueva Loja,0.0847,-76.8828,87.24,66,97,0.81,EC,1600376400
357,Province of Brindisi,40.5833,17.6667,77.09,58,58,20.24,IT,1600376400
358,Sinjai,-5.1241,120.253,76.05,85,99,4.79,ID,1600376400
359,Severnyy,50.677,36.5532,65.39,60,55,14.34,RU,1600376400
360,Jacmel,18.2342,-72.5347,88.81,56,12,4.14,HT,1600376400
361,Qazanbulaq,40.6192,46.6519,68.07,68,51,3.31,AZ,1600376400
362,Margate,51.3813,1.3862,61.72,67,31,21.7,GB,1600376400
363,Gongzhuling,43.5008,124.8198,49.48,91,29,11.72,CN,1600376400
364,Saint Lawrence,36.0553,14.204,78.49,82,0,21.74,MT,1600376400
365,Rabat,33.9911,-6.8401,76.62,58,87,12.19,MA,1600376400
366,Acajutla,13.5928,-89.8275,84.88,67,57,6.46,SV,1600376400
367,Leningradskiy,69.3833,178.4167,33.49,94,100,15.7,RU,1600376400
368,Alihe,50.5667,123.7167,49.75,93,100,4.34,CN,1600376400
369,Oriximiná,-1.7656,-55.8661,95.85,36,56,5.23,BR,1600376400
370,Coria,39.9879,-6.5377,71.85,62,91,2.17,ES,1600376400
371,Kayseri Province,38.737,35.4968,61.72,49,0,1.83,TR,1600376400
372,Teya,60.3778,92.6267,50.9,89,95,3.98,RU,1600376400
373,Okhotsk,59.3833,143.3,46.6,64,0,6.04,RU,1600376400
374,Souillac,-20.5167,57.5167,70.5,74,42,12.08,MU,1600376400
375,Lubao,14.9167,120.55,77.23,89,87,0.65,PH,1600376400
376,Albury,-36.0833,146.9167,55.0,89,92,3.53,AU,1600376400
377,Padang,-0.9492,100.3543,76.91,77,99,2.71,ID,1600376400
378,Huaibei,33.9744,116.7917,60.44,91,5,6.11,CN,1600376400
379,Sampang,-7.1872,113.2394,79.65,79,41,10.33,ID,1600376400
380,Swellendam,-34.0226,20.4417,52.16,84,3,1.9,ZA,1600376400
381,Monaghan,54.25,-6.9667,55.2,88,44,1.05,IE,1600376400
382,Natal,-5.795,-35.2094,79.97,67,10,13.13,BR,1600376400
383,Hofn,64.2539,-15.2082,51.08,76,26,9.31,IS,1600376400
384,Banda Aceh,5.5577,95.3222,81.46,70,100,12.75,ID,1600376400
385,Lobito,-12.3481,13.5456,70.72,84,85,5.1,AO,1600376400
386,Miandrivazo,-19.5167,45.4667,75.65,53,67,3.15,MG,1600376400
387,Sur,22.5667,59.5289,81.41,63,2,5.55,OM,1600376400
388,Husavik,66.0449,-17.3389,50.34,59,25,12.62,IS,1600376400
389,Richards Bay,-28.783,32.0377,66.02,73,47,4.85,ZA,1600376400
390,Ivanovka,42.8878,75.085,47.71,85,87,5.48,KG,1600376400
391,Ozernovskiy,51.5,156.5167,52.72,94,100,9.17,RU,1600376400
392,Düsseldorf,51.2217,6.7762,61.09,50,36,10.13,DE,1600376400
393,Alofi,-19.0595,-169.9187,75.61,92,84,24.07,NU,1600376400
394,Metro,-5.1131,105.3067,73.76,89,49,4.16,ID,1600376400
395,Cuencamé de Ceniceros,24.8711,-103.6964,78.06,44,13,16.37,MX,1600376400
396,Bainbridge Island,47.6262,-122.5212,75.42,71,56,6.42,US,1600376400
397,Iqaluit,63.7506,-68.5145,39.43,70,73,3.02,CA,1600376400
398,Cristóbal Obregón,16.35,-93.5333,82.11,71,85,2.82,MX,1600376400
399,Jurm,36.8648,70.8342,50.95,48,0,1.03,AF,1600376400
400,Palmer,42.1584,-72.3287,74.52,51,87,4.7,US,1600376400
401,Nísia Floresta,-6.0911,-35.2086,78.89,69,10,11.03,BR,1600376400
402,Le Port,-20.9373,55.2919,69.37,69,60,5.23,RE,1600376400
403,Aksarka,66.5606,67.7975,46.54,87,100,8.08,RU,1600376400
404,Bayir,37.2687,28.2167,74.41,55,0,0.47,TR,1600376400
405,Sarangani,5.4033,125.4636,81.93,72,50,3.74,PH,1600376400
406,Samarai,-10.6167,150.6667,79.07,86,100,17.16,PG,1600376400
407,Skjervøy,70.0311,20.9714,47.08,78,100,15.57,NO,1600376400
408,Niquero,20.0431,-77.5828,87.13,64,6,3.53,CU,1600376400
409,Tuy Hoa,13.0833,109.3,73.85,89,100,16.24,VN,1600376400
410,Waingapu,-9.6567,120.2641,73.65,83,72,4.94,ID,1600376400
411,Warmbad,-28.45,18.7333,65.32,23,0,8.3,NA,1600376400
412,Monrovia,6.3005,-10.7969,79.7,83,87,11.48,LR,1600376400
413,Opunake,-39.4556,173.8583,53.76,87,100,21.99,NZ,1600376400
414,Kiama,-34.6833,150.8667,57.31,86,100,3.94,AU,1600376400
415,Flinders,-34.5833,150.8552,57.29,82,99,3.91,AU,1600376400
416,Dzilam González,21.2833,-88.9333,95.07,44,89,4.63,MX,1600376400
417,Mariana,-20.3778,-43.4161,82.76,36,22,3.24,BR,1600376400
418,Ponta do Sol,32.6667,-17.1,70.56,67,37,16.49,PT,1600376400
419,Port Hardy,50.6996,-127.4199,63.75,85,74,5.48,CA,1600376400
420,Creel,27.75,-107.6333,67.42,49,0,15.84,MX,1600376400
421,San Martín,-33.081,-68.4681,85.39,14,0,8.32,AR,1600376400
422,Muisne,0.6,-80.0333,75.9,82,90,12.55,EC,1600376400
423,Atasū,48.6814,71.6433,51.51,75,92,17.67,KZ,1600376400
424,Khor,47.8861,134.9464,52.74,95,21,3.87,RU,1600376400
425,Linfen,36.0889,111.5189,66.51,31,0,2.55,CN,1600376400
426,Aksu,41.1231,80.2644,67.77,26,2,5.23,CN,1600376400
427,Puerto Carreño,6.189,-67.4859,90.41,54,25,3.49,CO,1600376400
428,Noumea,-22.2763,166.4572,71.19,83,8,6.55,NC,1600376400
429,Ekhabi,53.5102,142.9671,52.74,92,100,20.4,RU,1600376400
430,Seymchan,62.8833,152.4333,38.46,86,43,1.7,RU,1600376400
431,Sidrolândia,-20.9319,-54.9614,88.36,34,53,13.18,BR,1600376400
432,Fuyu,45.1833,124.8167,50.2,94,69,6.06,CN,1600376400
433,Faya,18.3851,42.4509,71.6,48,55,9.04,SA,1600376400
434,Itoman,26.1247,127.6694,82.09,86,86,9.1,JP,1600376400
435,Lagoa,39.05,-27.9833,69.17,73,52,14.29,PT,1600376400
436,Rio Grande,-32.035,-52.0986,63.01,80,0,5.5,BR,1600376400
437,Samur,41.8253,48.486,68.22,79,39,5.59,RU,1600376400
438,Biak,-0.9131,122.8766,75.96,70,39,4.92,ID,1600376400
439,Kahului,20.8947,-156.47,81.1,55,32,9.82,US,1600376400
440,Zhigansk,66.7697,123.3711,37.62,79,4,0.6,RU,1600376400
441,Mizdah,31.4451,12.9801,76.19,44,0,5.84,LY,1600376400
442,Porto Real,-22.4197,-44.2903,86.43,36,31,6.08,BR,1600376400
443,Magán,39.9683,-3.931,75.56,53,99,10.76,ES,1600376400
444,Kismayo,-0.3582,42.5454,77.86,83,4,12.1,SO,1600376400
445,Marzuq,14.4,46.4667,81.72,49,58,1.16,YE,1600376400
446,Tarakan,3.3,117.6333,78.96,83,84,6.51,ID,1600376400
447,Zhangye,38.9342,100.4517,58.35,33,0,3.51,CN,1600376400
448,Arman',59.7,150.1667,43.3,68,0,7.18,RU,1600376400
449,Vitim,59.4511,112.5578,42.28,89,0,3.8,RU,1600376400
450,Bargi,22.9833,79.8667,78.69,82,98,1.59,IN,1600376400
451,Naze,28.3667,129.4833,80.55,93,79,10.65,JP,1600376400
452,Bud,39.447,-86.1758,75.88,61,8,15.17,US,1600376400
453,Fort Frances,48.5999,-93.4003,51.31,41,46,2.91,CA,1600376400
454,Nanticoke,41.2054,-76.0049,73.15,62,100,4.61,US,1600376400
455,Benito Juarez,19.385,-99.165,73.81,48,68,7.9,MX,1600376400
456,Olafsvik,64.8945,-23.7142,48.65,81,65,20.56,IS,1600376400
457,North Bend,43.4065,-124.2243,68.38,82,55,5.59,US,1600376400
458,Katsuura,35.1333,140.3,80.73,85,81,23.8,JP,1600376400
459,Baghmara,23.795,86.2085,81.84,79,100,1.14,IN,1600376400
460,Nizhniy Kuranakh,58.8353,125.4869,38.12,85,43,2.17,RU,1600376400
461,Tingi,-11.3,35.0333,70.0,43,0,7.9,TZ,1600376400
462,Elko,41.0002,-115.5012,87.67,15,1,12.35,US,1600376400
463,Pushchino,54.8339,37.6264,53.49,87,87,12.19,RU,1600376400
464,Labuhan,-6.8844,112.2051,77.45,80,69,6.78,ID,1600376400
465,Wana,32.2989,69.5725,76.03,19,0,5.93,PK,1600376400
466,Haapiti,-17.5667,-149.8667,80.83,73,12,18.81,PF,1600376400
467,Tual,-5.6667,132.75,79.63,85,94,11.9,ID,1600376400
468,Ojinaga,29.5667,-104.4167,86.45,45,75,15.99,MX,1600376400
469,Gisors,49.2818,1.7801,61.39,43,0,14.14,FR,1600376400
470,Umluj,25.0213,37.2685,87.85,52,0,6.38,SA,1600376400
471,Zheleznodorozhnyy,55.7503,38.0042,54.45,82,87,12.21,RU,1600376400
472,Los Llanos de Aridane,28.6585,-17.9182,69.55,75,59,14.0,ES,1600376400
473,Jega,12.2175,4.3792,80.33,76,95,6.15,NG,1600376400
474,Pangnirtung,66.1451,-65.7125,39.76,63,90,4.63,CA,1600376400
475,Saint-Pierre,-21.3393,55.4781,69.64,67,16,4.85,RE,1600376400
476,Grindavik,63.8424,-22.4338,49.87,80,76,21.39,IS,1600376400
477,Changqing,36.5575,116.7272,64.49,43,0,6.2,CN,1600376400
478,Bac Lieu,9.285,105.7244,77.58,90,100,16.49,VN,1600376400
479,Erenhot,43.6475,111.9767,53.78,43,9,6.8,CN,1600376400
480,Virginia Beach,36.8529,-75.978,71.55,86,100,12.1,US,1600376400
481,Henties Bay,-22.116,14.2845,54.19,89,0,2.35,NA,1600376400
482,Pinyug,60.251,47.7842,41.5,95,100,10.13,RU,1600376400
483,Jieshi,22.8134,115.8257,81.68,87,76,14.16,CN,1600376400
484,Xingyi,24.1877,102.817,58.19,95,100,3.42,CN,1600376400
485,Golden,39.7555,-105.2211,83.37,13,46,7.07,US,1600376400
486,Mount Gambier,-37.8333,140.7667,50.11,82,95,10.42,AU,1600376400
487,Tymovskoye,50.8456,142.655,59.65,94,88,4.14,RU,1600376400
488,Rūdbār,30.15,62.6,72.61,27,0,8.21,AF,1600376400
489,Nipawin,53.3668,-104.0009,55.11,52,22,4.07,CA,1600376400
490,Jever,53.5833,7.9,52.09,73,52,10.27,DE,1600376400
491,Rāzole,16.4833,81.8333,79.41,93,2,3.85,IN,1600376400
492,Pangkalanbuun,-2.6833,111.6167,74.61,93,61,1.21,ID,1600376400
493,Kayerkan,69.3497,87.7602,50.61,79,98,7.78,RU,1600376400
494,Murgab,37.4966,61.9714,59.88,43,10,8.34,TM,1600376400
495,Māgadi,12.9667,77.2333,70.12,92,68,9.15,IN,1600376400
496,Huancabamba,-5.2386,-79.4506,66.99,64,60,3.51,PE,1600376400
497,Harper,4.375,-7.7169,75.2,87,99,11.86,LR,1600376400
498,Belyy Yar,53.6039,91.3903,56.03,77,93,7.02,RU,1600376400
499,Jacareacanga,-6.2222,-57.7528,94.68,46,46,2.24,BR,1600376400
500,Mossendjo,-2.9506,12.7261,73.13,82,74,2.06,CG,1600376400
501,Mulanje,-16.0316,35.5,77.43,39,13,9.26,MW,1600376400
502,Muli,2.9167,73.5667,82.89,77,100,11.25,MV,1600376400
503,Longyearbyen,78.2186,15.6401,35.71,91,87,3.62,SJ,1600376400
504,Mandalgovi,45.7625,106.2708,44.35,61,0,0.36,MN,1600376400
505,Mhlume,-26.0333,31.85,61.56,68,18,2.42,SZ,1600376400
506,Ginir,7.1333,40.7,64.56,67,37,3.6,ET,1600376400
507,Puerto Madryn,-42.7692,-65.0385,60.64,30,24,39.64,AR,1600376400
508,Betioky,-23.7167,44.3833,74.08,38,1,7.45,MG,1600376400
509,Mokhsogollokh,61.4681,128.9203,37.9,81,8,1.81,RU,1600376400
510,Alamosa,37.4695,-105.87,74.12,27,1,4.41,US,1600376400
511,Mayo,38.8876,-76.5119,71.51,84,49,8.23,US,1600376400
512,Qaqortoq,60.7167,-46.0333,43.59,61,87,11.54,GL,1600376400
513,Nyurba,63.2842,118.3319,39.24,90,0,3.2,RU,1600376400
514,Payo,-3.7508,103.6372,72.63,92,59,2.37,ID,1600376400
515,Rocha,-34.4833,-54.3333,66.16,61,0,7.78,UY,1600376400
516,Örnsköldsvik,63.2909,18.7153,45.52,76,96,2.98,SE,1600376400
517,Kichera,55.9375,110.0997,44.94,75,20,2.8,RU,1600376400
518,Kichmengskiy Gorodok,59.9816,45.7854,46.98,94,100,9.37,RU,1600376400
519,Sterling,39.0062,-77.4286,70.2,77,95,6.15,US,1600376400
520,Departamento de Maldonado,-34.6667,-54.9167,68.54,54,0,10.6,UY,1600376400
521,Bereda,43.2686,-7.5406,64.54,96,79,0.74,ES,1600376400
522,Baijiantan,45.6333,85.1833,68.76,35,85,36.01,CN,1600376400
523,Mitsamiouli,-11.3847,43.2844,76.64,78,23,9.19,KM,1600376400
524,Hamilton,39.1834,-84.5333,78.55,47,1,10.94,US,1600376400
525,Lālmohan,22.3384,90.7419,83.82,84,97,5.06,BD,1600376400
526,Isiro,2.7739,27.616,69.28,93,51,1.03,CD,1600376400
527,Ust-Kuyga,70.0167,135.6,45.93,82,100,5.17,RU,1600376400
528,Waipawa,-41.4122,175.5153,44.83,96,92,13.89,NZ,1600376400
529,Taormina,37.8536,15.2885,75.69,67,35,6.53,IT,1600376400
530,Pisco,-13.7,-76.2167,65.95,77,24,5.95,PE,1600376400
531,Dongsheng,39.8161,109.9776,52.48,44,0,3.53,CN,1600376400
